Category: All categories

Week,Hand washing: (United States),Face masks: (United States),Social distancing: (United States)
2019-05-19,1,1,0
2019-05-26,1,1,0
2019-06-02,1,1,0
2019-06-09,1,2,<1
2019-06-16,1,2,<1
2019-06-23,1,2,0
2019-06-30,1,1,0
2019-07-07,1,2,0
2019-07-14,1,2,0
2019-07-21,1,2,<1
2019-07-28,1,2,0
2019-08-04,1,2,<1
2019-08-11,1,1,0
2019-08-18,1,2,0
2019-08-25,1,1,0
2019-09-01,1,1,0
2019-09-08,1,1,0
2019-09-15,1,1,<1
2019-09-22,1,2,<1
2019-09-29,1,1,<1
2019-10-06,1,2,0
2019-10-13,1,2,0
2019-10-20,1,1,0
2019-10-27,1,2,0
2019-11-03,1,2,<1
2019-11-10,1,2,0
2019-11-17,1,2,<1
2019-11-24,1,2,0
2019-12-01,1,2,0
2019-12-08,1,2,<1
2019-12-15,1,2,0
2019-12-22,1,2,0
2019-12-29,1,2,0
2020-01-05,1,2,<1
2020-01-12,1,2,<1
2020-01-19,1,3,<1
2020-01-26,1,9,0
2020-02-02,1,6,<1
2020-02-09,1,4,0
2020-02-16,1,4,0
2020-02-23,2,25,<1
2020-03-01,6,15,<1
2020-03-08,9,14,13
2020-03-15,7,25,53
2020-03-22,5,34,47
2020-03-29,4,100,59
2020-04-05,3,96,37
2020-04-12,2,92,37
2020-04-19,2,83,25
2020-04-26,2,86,25
2020-05-03,2,76,22
