ST,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"01","Alabama",2225043,65403,2.94,67050,3.01,68853,3.09,79646,3.58,159896,7.19,265667,11.94,342479,15.39,408309,18.35,482596,21.69,511318,22.98,537742,24.17,562047,25.26
"02","Alaska",372659,25055,6.72,25799,6.92,26821,7.20,33987,9.12,46564,12.50,59887,16.07,70851,19.01,81993,22.00,91410,24.53,99371,26.67,106500,28.58,113912,30.57
"04","Arizona",3437600,155707,4.53,159033,4.63,162842,4.74,191922,5.58,280049,8.15,411267,11.96,508896,14.80,580691,16.89,632792,18.41,675421,19.65,706702,20.56,738701,21.49
"05","Arkansas",1387191,43277,3.12,45108,3.25,46482,3.35,55700,4.02,83287,6.00,144994,10.45,180406,13.01,205655,14.83,223218,16.09,236584,17.05,249656,18.00,260253,18.76
"06","California",20229974,797559,3.94,840149,4.15,896705,4.43,1079636,5.34,2118627,10.47,3020642,14.93,3664160,18.11,4182869,20.68,4502275,22.26,4812748,23.79,5021536,24.82,5263169,26.02
"08","Colorado",3160326,89929,2.85,91762,2.90,94045,2.98,113488,3.59,174293,5.52,219844,6.96,322668,10.21,389176,12.31,427192,13.52,455077,14.40,477430,15.11,495088,15.67
"09","Connecticut",1932948,72173,3.73,74616,3.86,77943,4.03,102217,5.29,134352,6.95,166715,8.62,199645,10.33,299071,15.47,331025,17.13,365975,18.93,395031,20.44,420190,21.74
"10","Delaware",485076,14397,2.97,14853,3.06,15268,3.15,24759,5.10,41614,8.58,58216,12.00,69893,14.41,78213,16.12,85212,17.57,90758,18.71,95335,19.65,100123,20.64
"11","District of Columbia",409014,20849,5.10,21090,5.16,21712,5.31,29128,7.12,37265,9.11,45126,11.03,50240,12.28,54670,13.37,59135,14.46,63295,15.48,66260,16.20,68865,16.84
"12","Florida",10418929,307892,2.96,313421,3.01,320134,3.07,397313,3.81,634605,6.09,811043,7.78,998421,9.58,1524625,14.63,1974428,18.95,2156036,20.69,2387708,22.92,2620279,25.15
"13","Georgia",5267951,173459,3.29,178068,3.38,183563,3.48,195812,3.72,330836,6.28,724478,13.75,1046932,19.87,1296157,24.60,1565118,29.71,1795513,34.08,2040290,38.73,2217885,42.10
"15","Hawaii",714338,19734,2.76,21053,2.95,22698,3.18,31822,4.45,82123,11.50,137087,19.19,173022,24.22,200546,28.07,223830,31.33,239473,33.52,252201,35.31,263583,36.90
"16","Idaho",851966,24416,2.87,25334,2.97,26344,3.09,39647,4.65,71903,8.44,102165,11.99,120311,14.12,133063,15.62,141706,16.63,149046,17.49,154720,18.16,160081,18.79
"17","Illinois",6675371,249745,3.74,257997,3.86,268276,4.02,376187,5.64,544905,8.16,735019,11.01,868502,13.01,965841,14.47,1043001,15.62,1113433,16.68,1182150,17.71,1251003,18.74
"18","Indiana",3411865,112280,3.29,114426,3.35,116932,3.43,174625,5.12,308995,9.06,431621,12.65,541450,15.87,611694,17.93,665544,19.51,706373,20.70,735017,21.54,764281,22.40
"19","Iowa",1687665,34109,2.02,36235,2.15,38370,2.27,77583,4.60,131173,7.77,192643,11.41,234668,13.90,260428,15.43,286492,16.98,308746,18.29,323895,19.19,336381,19.93
"20","Kansas",1507159,48214,3.20,49480,3.28,51109,3.39,72977,4.84,123399,8.19,169159,11.22,196883,13.06,225279,14.95,248000,16.45,262812,17.44,274165,18.19,285098,18.92
"21","Kentucky",2117414,78301,3.70,80636,3.81,83276,3.93,129757,6.13,237037,11.19,348513,16.46,458759,21.67,557348,26.32,643837,30.41,721998,34.10,787758,37.20,832333,39.31
"22","Louisiana",2164811,79697,3.68,81321,3.76,83479,3.86,152800,7.06,246008,11.36,342298,15.81,418523,19.33,506489,23.40,569780,26.32,618525,28.57,656909,30.34,684499,31.62
"23","Maine",701538,24223,3.45,24924,3.55,25546,3.64,46604,6.64,69930,9.97,100262,14.29,113498,16.18,125047,17.82,132565,18.90,148376,21.15,158568,22.60,159398,22.72
