ZI,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"00001","N Dillingham Census Area",25,4,16.00,4,16.00,4,16.00,4,16.00,5,20.00,6,24.00,7,28.00,7,28.00,8,32.00,9,36.00,9,36.00,10,40.00
"00002","Yukon Flats Nat Wildlife",131,18,13.74,19,14.50,19,14.50,21,16.03,25,19.08,29,22.14,32,24.43,36,27.48,39,29.77,41,31.30,44,33.59,46,35.11
"00003","Alaska Peninsula NWR",62,6,9.68,6,9.68,6,9.68,7,11.29,9,14.52,11,17.74,12,19.35,13,20.97,15,24.19,16,25.81,17,27.42,18,29.03
"00004","W Kenai Peninsula Boroug",35,5,14.29,5,14.29,5,14.29,6,17.14,7,20.00,9,25.71,10,28.57,12,34.29,13,37.14,14,40.00,15,42.86,16,45.71
"00005","N Lake and Peninsula Bor",71,10,14.08,10,14.08,11,15.49,12,16.90,13,18.31,15,21.13,17,23.94,18,25.35,19,26.76,21,29.58,22,30.99,23,32.39
"00006","Matanuska-Sustina Bor",105,12,11.43,12,11.43,12,11.43,14,13.33,18,17.14,22,20.95,25,23.81,28,26.67,31,29.52,34,32.38,36,34.29,38,36.19
"00007","Southerly North Slope Bo",32,6,18.75,6,18.75,6,18.75,6,18.75,7,21.88,8,25.00,8,25.00,9,28.12,9,28.12,9,28.12,10,31.25,10,31.25
"00009","Lake Clark National Pres",2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00010","Yukon Delta Wilderness",244,54,22.13,54,22.13,55,22.54,58,23.77,64,26.23,71,29.10,76,31.15,82,33.61,86,35.25,90,36.89,93,38.11,97,39.75
"00011","Kenai Ntl Wildlife Ref",9,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,11.11,1,11.11,1,11.11,2,22.22,2,22.22,2,22.22,2,22.22
"00012","Mt Meadows Area",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00013","Midway Islands",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00014","West Pima County",1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
